genre,author,book,pubhouse,price_now,price_old
"Учебная, методическая литература и словари",Козина Галина Александровна,Русский родной язык. 2 класс. Рабочая тетрадь к учебнику О. М. Александровой и др.,Экзамен,203,312
"Учебная, методическая литература и словари",Попова И.,Математика,Стрекоза,284,406
"Учебная, методическая литература и словари",Соколова Наталья Алексеевна,Окружающий мир. 2 класс. Рабочая тетрадь № 2 к учебнику А.А. Плешакова. ФГОС,Экзамен,274,421
"Учебная, методическая литература и словари",Тихомирова Елена Михайловна,"Русский язык. 3 класс. Тренажер к учебнику В.П. Канакиной, В.Г. Горецкого. ФГОС",Экзамен,179,276
"Учебная, методическая литература и словари",Волкова,ВПР. Окружающий мир. 4 класс. 15 вариантов. Типовые задания. ФГОС,Экзамен,311,479
"Учебная, методическая литература и словари",Тихомирова Елена Михайловна,Окружающий мир. 3 класс. Тесты к учебнику А. А. Плешакова. Часть 2,Экзамен,209,322
"Учебная, методическая литература и словари",Цитович Галина Ивановна,Окружающий мир. 1 класс. Самостоятельные и контрольные работы к учебнику А. А. Плешакова. Часть 1,Экзамен,179,276
"Учебная, методическая литература и словари",Цитович Галина Ивановна,Окружающий мир. 1 класс. Самостоятельные и контрольные работы к учебнику А. А. Плешакова. Часть 2,Экзамен,179,276
"Учебная, методическая литература и словари",,,,1 053,1 504
"Учебная, методическая литература и словари",Чурсина Лариса Вячеславовна,"Русский язык. 1 класс. Самостоятельные и контрольные работы к учебнику В. Канакиной, В. Горецкого",Экзамен,207,318
"Учебная, методическая литература и словари",Чурсина Лариса Вячеславовна,"Русский язык. 2 класс. Самостоятельные и контрольные работы к учебнику В. Канакиной, В. Горецкого",Экзамен,207,318
"Учебная, методическая литература и словари",Громцева Ольга Ильинична,Физика. 7-9 классы. Справочник. ФГОС,Экзамен,222,342
"Учебная, методическая литература и словари",Рудницкая Виктория Наумовна,Математика. 4 класс. Контрольные работы к учебнику М. И. Моро и др. Часть 1. ФГОС,Экзамен,168,259
"Учебная, методическая литература и словари",Погорелова Надежда Юрьевна,Окружающий мир. 1 класс. Проверочные работы к учебнику А. А. Плешакова,Экзамен,273,420
"Учебная, методическая литература и словари",Дьячкова Лариса Вячеславовна,"Литературное чтение. 1 класс. Проверочные работы к учебнику Л. Ф. Климановой, В. Г. Горецкого и др.",Экзамен,214,329
"Учебная, методическая литература и словари",Козина Галина Александровна,Русский родной язык. 3 класс. Рабочая тетрадь к учебнику О. М. Александровой и др.,Экзамен,203,312
"Учебная, методическая литература и словари",Ишметова Марина Александровна,Запуск речи: от звука - к первым стихотворениям. Практическое руководство по работе с неговорящими,Феникс,248,354
